movie_id,title,tags
19995,Avatar,"Action Adventure Fantasy Sci-Fi future space war"
285,Pirates of the Caribbean: At World's End,"Action Adventure Fantasy ocean island"
206647,Spectre,"Action Adventure Crime spy secret agent"
49026,The Dark Knight Rises,"Action Crime Drama dc comics batman vigilante"
49529,John Carter,"Action Adventure Sci-Fi mars princess warrior"
559,Spider-Man 3,"Fantasy Action Adventure marvel superhero sandman"
38757,Tangled,"Animation Family princess magic hair"
99861,Avengers: Age of Ultron,"Action Adventure Sci-Fi marvel superhero robot"
767,Harry Potter and the Half-Blood Prince,"Adventure Fantasy Family magic school"
209112,Batman v Superman: Dawn of Justice,"Action Adventure Fantasy dc comics superhero"
12,Finding Nemo,"Animation Family ocean fish adventure"
135397,Jurassic World,"Action Adventure Sci-Fi dinosaurs theme park"
168259,Furious 7,"Action Crime Thriller cars racing heist"
102899,Ant-Man,"Action Adventure Sci-Fi marvel shrinking"
118340,Guardians of the Galaxy,"Action Adventure Sci-Fi space marvel"
177572,Big Hero 6,"Animation Family Adventure robot superhero"
140607,Star Wars: The Force Awakens,"Action Adventure Sci-Fi space jedi"
24428,The Avengers,"Action Adventure Sci-Fi marvel superhero"
293660,Deadpool,"Action Adventure Comedy marvel mercenary"
10138,Iron Man 2,"Action Adventure Sci-Fi marvel ironman"
671,Harry Potter and the Philosopher's Stone,"Adventure Fantasy Family magic"
672,Harry Potter and the Chamber of Secrets,"Adventure Fantasy Family magic"
673,Harry Potter and the Prisoner of Azkaban,"Adventure Fantasy Family magic"
155,The Dark Knight,"Action Crime Drama dc comics batman joker"
272,Batman Begins,"Action Crime Drama dc comics batman origins"
1726,Iron Man,"Action Adventure Sci-Fi marvel ironman"
101299,The Hunger Games: Catching Fire,"Adventure Action Sci-Fi dystopian"
603,The Matrix,"Action Sci-Fi virtual reality machine"
120,The Lord of the Rings: The Fellowship of the Ring,"Adventure Fantasy journey"
121,The Lord of the Rings: The Two Towers,"Adventure Fantasy journey"
122,The Lord of the Rings: The Return of the King,"Adventure Fantasy journey"
11,Star Wars,"Action Adventure Sci-Fi space"
1891,The Empire Strikes Back,"Action Adventure Sci-Fi space"
1892,Return of the Jedi,"Action Adventure Sci-Fi space"
808,Shrek,"Animation Comedy Family ogre"
809,Shrek 2,"Animation Comedy Family ogre"
211677,The Lego Movie,"Animation Adventure Comedy"
271110,Captain America: Civil War,"Action Adventure Sci-Fi marvel superhero"
100402,Captain America: The Winter Soldier,"Action Adventure Sci-Fi marvel"
1771,Captain America: The First Avenger,"Action Adventure Sci-Fi marvel"
10195,Thor,"Action Adventure Fantasy marvel thor"
76338,Thor: The Dark World,"Action Adventure Fantasy marvel thor"
284052,Doctor Strange,"Action Adventure Fantasy marvel magic"
284053,Thor: Ragnarok,"Action Adventure Fantasy marvel thor comedy"
10191,How to Train Your Dragon,"Animation Adventure Family dragons"
166428,How to Train Your Dragon 2,"Animation Adventure Family dragons"
35491,Wreck-It Ralph,"Animation Adventure Family video games"
13,Forrest Gump,"Drama Romance history inspiration"
278,The Shawshank Redemption,"Drama prison hope"
238,The Godfather,"Crime Drama mafia"
240,The Godfather: Part II,"Crime Drama mafia"
1893,Star Wars: Episode I - The Phantom Menace,"Action Adventure Sci-Fi space"
1894,Star Wars: Episode II - Attack of the Clones,"Action Adventure Sci-Fi space"
1895,Star Wars: Episode III - Revenge of the Sith,"Action Adventure Sci-Fi space"
157336,Interstellar,"Adventure Drama Sci-Fi space time"
27205,Inception,"Action Sci-Fi dreams mind heist"
11324,Shutter Island,"Drama Mystery Thriller psychological"
152601,Her,"Drama Romance Sci-Fi ai"
12477,Grave of the Fireflies,"Animation Drama War"
129,Spirited Away,"Animation Adventure Fantasy magic"
4935,Ran,"Action Drama History samurai"
1124,The Prestige,"Drama Mystery Sci-Fi magicians"
105,Back to the Future,"Adventure Comedy Sci-Fi time travel"
196,Back to the Future Part II,"Adventure Comedy Sci-Fi time travel"
197,Back to the Future Part III,"Adventure Comedy Sci-Fi time travel"
85,Raiders of the Lost Ark,"Adventure Action archeology"
87,Indiana Jones and the Temple of Doom,"Adventure Action archeology"
89,Indiana Jones and the Last Crusade,"Adventure Action archeology"
1895,Gladiator,"Action Drama History rome"
98,Gladiator,"Action Drama History rome"
111,Scarface,"Action Crime Drama drug lord"
680,Pulp Fiction,"Crime Thriller cult classic"
769,Goodfellas,"Crime Drama mafia"
550,Fight Club,"Drama psychological cult classic"
13,Life is Beautiful,"Comedy Drama War"
597,Titanic,"Drama Romance shipwreck"
106662,The Wolf of Wall Street,"Comedy Crime Drama finance"
62177,Brave,"Animation Adventure Family princess"
330,The Lost World: Jurassic Park,"Action Adventure Sci-Fi dinosaurs"
329,Jurassic Park,"Action Adventure Sci-Fi dinosaurs"
10719,Elf,"Comedy Family Christmas"
11036,The Notebook,"Drama Romance love"
2062,Ratatouille,"Animation Comedy Family chef"
14160,Up,"Animation Adventure Family house"
862,Toy Story,"Animation Adventure Family toys"
863,Toy Story 2,"Animation Adventure Family toys"
10193,Toy Story 3,"Animation Adventure Family toys"
585,Monsters Inc.,"Animation Comedy Family monsters"
62,2001: A Space Odyssey,"Sci-Fi Mystery space"
185,A Clockwork Orange,"Crime Sci-Fi psychological"
187,Sin City,"Action Crime Thriller noir"
311,Once Upon a Time in America,"Crime Drama mafia"
399106,20th Century Women,"Comedy Drama"
807,Se7en,"Crime Mystery Thriller serial killer"
1422,The Departed,"Crime Drama Thriller undercover"
11111,The Terminal,"Comedy Drama airport"
948,Giant,"Drama Romance"
103,Taxi Driver,"Crime Drama psychological"
424,Schindler's List,"Drama History War"